Filename;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Origin file;Origin frame number;Origin track;Origin track frame number
nightTest/nightSequence2--00000.jpg;stop;567;337;571;342;nightTest/nightSequence2/testSequence2.mp4;0;nightTest/nightSequence2/testSequence2.mp4;0
nightTest/nightSequence2--00000.jpg;stop;697;310;704;318;nightTest/nightSequence2/testSequence2.mp4;0;nightTest/nightSequence2/testSequence2.mp4;0
nightTest/nightSequence2--00000.jpg;stop;747;336;752;340;nightTest/nightSequence2/testSequence2.mp4;0;nightTest/nightSequence2/testSequence2.mp4;0
nightTest/nightSequence2--00000.jpg;stop;679;332;683;336;nightTest/nightSequence2/testSequence2.mp4;0;nightTest/nightSequence2/testSequence2.mp4;0
nightTest/nightSequence2--00001.jpg;stop;566;335;571;340;nightTest/nightSequence2/testSequence2.mp4;1;nightTest/nightSequence2/testSequence2.mp4;1
nightTest/nightSequence2--00001.jpg;stop;698;310;703;315;nightTest/nightSequence2/testSequence2.mp4;1;nightTest/nightSequence2/testSequence2.mp4;1
nightTest/nightSequence2--00001.jpg;stop;748;332;755;340;nightTest/nightSequence2/testSequence2.mp4;1;nightTest/nightSequence2/testSequence2.mp4;1
nightTest/nightSequence2--00001.jpg;stop;679;331;682;334;nightTest/nightSequence2/testSequence2.mp4;1;nightTest/nightSequence2/testSequence2.mp4;1
nightTest/nightSequence2--00002.jpg;stop;566;339;570;344;nightTest/nightSequence2/testSequence2.mp4;2;nightTest/nightSequence2/testSequence2.mp4;2
nightTest/nightSequence2--00002.jpg;stop;699;313;703;319;nightTest/nightSequence2/testSequence2.mp4;2;nightTest/nightSequence2/testSequence2.mp4;2
nightTest/nightSequence2--00002.jpg;stop;748;335;756;344;nightTest/nightSequence2/testSequence2.mp4;2;nightTest/nightSequence2/testSequence2.mp4;2
nightTest/nightSequence2--00002.jpg;stop;679;334;683;338;nightTest/nightSequence2/testSequence2.mp4;2;nightTest/nightSequence2/testSequence2.mp4;2
nightTest/nightSequence2--00003.jpg;stop;567;343;571;347;nightTest/nightSequence2/testSequence2.mp4;3;nightTest/nightSequence2/testSequence2.mp4;3
nightTest/nightSequence2--00003.jpg;stop;699;316;704;322;nightTest/nightSequence2/testSequence2.mp4;3;nightTest/nightSequence2/testSequence2.mp4;3
nightTest/nightSequence2--00003.jpg;stop;749;339;756;348;nightTest/nightSequence2/testSequence2.mp4;3;nightTest/nightSequence2/testSequence2.mp4;3
nightTest/nightSequence2--00003.jpg;stop;680;338;683;342;nightTest/nightSequence2/testSequence2.mp4;3;nightTest/nightSequence2/testSequence2.mp4;3
nightTest/nightSequence2--00004.jpg;stop;567;345;570;349;nightTest/nightSequence2/testSequence2.mp4;4;nightTest/nightSequence2/testSequence2.mp4;4
nightTest/nightSequence2--00004.jpg;stop;700;320;705;324;nightTest/nightSequence2/testSequence2.mp4;4;nightTest/nightSequence2/testSequence2.mp4;4
nightTest/nightSequence2--00004.jpg;stop;751;342;758;350;nightTest/nightSequence2/testSequence2.mp4;4;nightTest/nightSequence2/testSequence2.mp4;4
nightTest/nightSequence2--00004.jpg;stop;681;340;685;344;nightTest/nightSequence2/testSequence2.mp4;4;nightTest/nightSequence2/testSequence2.mp4;4
nightTest/nightSequence2--00005.jpg;stop;566;357;572;364;nightTest/nightSequence2/testSequence2.mp4;5;nightTest/nightSequence2/testSequence2.mp4;5
nightTest/nightSequence2--00005.jpg;stop;700;319;706;324;nightTest/nightSequence2/testSequence2.mp4;5;nightTest/nightSequence2/testSequence2.mp4;5
