Filename;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Origin file;Origin frame number;Origin track;Origin track frame number
dayTest/daySequence2--00143.jpg;stop;1183;353;1188;358;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;143;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;143
dayTest/daySequence2--00144.jpg;stop;1157;354;1162;360;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;144;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;144
dayTest/daySequence2--00145.jpg;stop;1131;354;1136;360;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;145;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;145
dayTest/daySequence2--00146.jpg;stop;1105;354;1110;358;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;146;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;146
dayTest/daySequence2--00147.jpg;stop;1080;353;1086;358;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;147;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;147
dayTest/daySequence2--00148.jpg;stop;1056;352;1061;358;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;148;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;148
dayTest/daySequence2--00149.jpg;stop;1033;351;1038;358;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;149;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;149
dayTest/daySequence2--00150.jpg;stop;1009;352;1014;358;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;150;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;150
dayTest/daySequence2--00151.jpg;stop;989;352;994;357;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;151;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;151
dayTest/daySequence2--00152.jpg;stop;969;351;973;355;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;152;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;152
dayTest/daySequence2--00153.jpg;stop;1062;394;1066;398;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;153;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;153
dayTest/daySequence2--00153.jpg;stop;949;348;956;356;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;153;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;153
dayTest/daySequence2--00154.jpg;stop;1041;393;1045;397;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;154;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;154
dayTest/daySequence2--00154.jpg;stop;931;347;936;352;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;154;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;154
dayTest/daySequence2--00155.jpg;stop;1026;394;1030;398;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;155;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;155
dayTest/daySequence2--00155.jpg;stop;914;348;919;354;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;155;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;155
dayTest/daySequence2--00156.jpg;stop;898;347;904;354;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;156;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;156
dayTest/daySequence2--00156.jpg;stop;1010;394;1014;398;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;156;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;156
dayTest/daySequence2--00157.jpg;stop;995;394;999;398;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;157;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;157
dayTest/daySequence2--00157.jpg;stop;883;348;889;354;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;157;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;157
dayTest/daySequence2--00158.jpg;stop;978;394;982;398;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;158;dayTest/daySequence2/Day2NoonShutter0.000200-Gain-0.mp4;158
